word
buruk
jelek
mengecewakan
tidak memuaskan
kacau
bermasalah
ribet
merepotkan
lambat
sangat lambat
antre panjang
antrian lama
menunggu lama
telat
tidak tepat waktu
tidak profesional
pelayanan buruk
pelayanan jelek
pelayanan lambat
pelayanan tidak ramah
petugas tidak ramah
petugas kasar
petugas cuek
petugas tidak membantu
petugas tidak sopan
tidak jelas
informasi tidak jelas
kurang informasi
minim informasi
tidak transparan
membingungkan
prosedur rumit
prosedur ribet
proses lama
sistem lambat
sistem error
sistem bermasalah
sistem sering down
aplikasi error
aplikasi lambat
aplikasi sering crash
aplikasi bermasalah
pendaftaran sulit
pendaftaran ribet
gagal daftar
gagal login
data hilang
data tidak tersimpan
hasil lama
hasil terlambat
hasil tidak keluar
hasil tidak akurat
hasil meragukan
hasil salah
pemeriksaan asal
pemeriksaan tidak teliti
pemeriksaan terburu-buru
tidak dicek dengan benar
alat rusak
alat tidak lengkap
fasilitas kurang
fasilitas minim
fasilitas buruk
tempat sempit
tempat kotor
tidak bersih
bau
tidak nyaman
panas
pengap
ramai
terlalu ramai
tidak tertib
berisik
tidak aman
tidak higienis
tidak steril
tidak sesuai standar
asal-asalan
seadanya
tidak serius
tidak maksimal
tidak optimal
mengecewakan sekali
sangat mengecewakan
buang waktu
membuang waktu
percuma
sia-sia
tidak berguna
tidak bermanfaat
tidak efektif
tidak efisien
membosankan
melelahkan
capek
menyebalkan
menjengkelkan
bikin kesal
bikin marah
emosi
frustasi
stres
bikin stres
kecewa berat
menyesal
trauma
tidak direkomendasikan
tidak layak
kurang layak
tidak pantas
kualitas rendah
kualitas buruk
mutu rendah
asal jadi
tidak konsisten
tidak stabil
sering bermasalah
sering error
sering telat
sering kacau
sering antri
sering penuh
overload
kewalahan
tidak teratur
amburadul
semrawut
tidak rapi
tidak terorganisir
koordinasi buruk
manajemen buruk
pengelolaan buruk
tidak siap
persiapan kurang
persiapan buruk
dadakan
tidak matang
perencanaan buruk
sosialisasi kurang
sosialisasi buruk
promosi berlebihan
tidak sesuai ekspektasi
ekspektasi tidak terpenuhi
janji palsu
hanya gimmick
pencitraan
formalitas
sekadar formalitas
tidak merata
tidak adil
pilih kasih
diskriminatif
tebang pilih
prioritas tidak jelas
tidak tepat sasaran
salah sasaran
tidak tepat guna
tidak tepat manfaat
tidak membantu
kurang membantu
tidak terasa manfaatnya
manfaat minim
manfaat kecil
manfaat tidak jelas
tidak berdampak
dampak kecil
hasil nihil
hasil nol
hasil tidak berarti
hasil mengecewakan
hasil buruk
hasil jelek
hasil tidak memuaskan
pemeriksaan terbatas
pemeriksaan minim
pemeriksaan dangkal
pemeriksaan tidak menyeluruh
tidak detail
kurang detail
kurang teliti
terkesan asal
terkesan dipaksakan
terkesan terburu-buru
tidak fokus
salah prosedur
prosedur tidak jelas
SOP tidak jelas
SOP tidak diterapkan
tidak sesuai SOP
melanggar SOP
pengawasan lemah
pengawasan buruk
kontrol lemah
pengendalian buruk
rawan kesalahan
rawan salah
rawan kelalaian
ceroboh
lalai
tidak hati-hati
kurang perhatian
kurang empati
tidak peduli
acuh tak acuh
tidak responsif
respon lambat
respon buruk
keluhan diabaikan
keluhan tidak ditanggapi
komplain tidak ditangani
komplain diabaikan
penanganan buruk
penanganan lambat
penanganan tidak serius
follow up buruk
tidak ditindaklanjuti
tidak ada tindak lanjut
komunikasi buruk
komunikasi tidak jelas
miskomunikasi
salah informasi
info menyesatkan
info tidak akurat
info simpang siur
jadwal tidak jelas
jadwal berubah-ubah
jadwal molor
jadwal kacau
waktu tidak pasti
datang sia-sia
tidak dilayani
ditolak
ditunda
dibatalkan sepihak
kapasitas penuh
kuota habis
kuota terbatas
tidak kebagian
lokasi jauh
sulit dijangkau
akses sulit
parkir sempit
antre berdesakan
tidak manusiawi
tidak ramah lansia
tidak ramah disabilitas
tidak inklusif
rawan penularan
protokol lemah
keamanan buruk
berbahaya
bikin cemas
tidak dipercaya
kredibilitas rendah
banyak keluhan
program gagal
gagal total
setengah-setengah
tidak berkelanjutan
buruk sekali
parah
sangat parah
memprihatinkan
menyedihkan
tragis
